city,price,name,address,description,link,asking_price,date_added,days_on_market,property_type,subtype,investment_type,class,tenancy,square_footage,net_rentable_sqft,year_built,year_renovated,buildings,stories,zoning,lot_size_acres,broker_co_op,ownership,investment_sub_type,brand_tenant,cap_rate,occupancy,occupancy_date,noi,units,gas_pumps,lease_type,tenant_credit,price_sqft,ground_lease,lease_term,remaining_term,parking_spaces,rent_bumps,lease_options,sale_condition,lease_commencement,lease_expiration,number_of_tenants,dock_high_doors,ceiling_height,pro_forma_cap_rate,pro_forma_noi,air_rights_sqft,price_acre_land_value,parking_per_unit,loading_docks,"parking_per_1,000_sq_ft"
charlotte NC,"$41,000,000",Net Leased Portfolio Nine-Property NC and SC,9 LOCATIONS,Rare Legacy Portfolio,https://www.crexi.com/properties/799634/north-carolina-net-leased-portfolio-nine-property-north-carolina-and-south-carolina?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$41,000,000","Apr 8, 2022",1200 days,Retail,"QSR/Fast Food, Grocery Store",,,Single,"3,925 - 39,625",,,,,,,.68 - 4.02,,,,"Dollar General, Walgreens, CVS Pharmacy, Family Dollar, Food Lion, Bojangles, Goodyear Auto Service",5.27%,100%,,"$2,161,314.96",,,NNN,,,,,10 years,,,,,,,,,,,,,,,,
charlotte NC,"$900,000","1720 Oakdale Road Charlotte, NC","1720 Oakdale Rd
Charlotte, NC 28216",Office/Retail For Sale,https://www.crexi.com/properties/1746433/north-carolina-1720-oakdale-road-charlotte-nc?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$900,000","Jan 13, 2025",189 days,"Office, Retail","Bank, Traditional Office",Owner/User,,,"2,473",,1994,,1,1,Office,1.94,,,,,,,,,,,,,,,,,,,,For sale by owner,,,,,,,,,,,,
charlotte NC,Unpriced,4101 Monroe Rd,"4101 Monroe Rd
Charlotte, NC 28205","Retail • 34,150 SF",https://www.crexi.com/properties/1767441/north-carolina-4101-monroe-rd?recommId=fb1412838a988dfdec9e4e0ebb08358a,Unpriced,"Feb 5, 2025",166 days,Retail,"Convenience Store, Gas Station, QSR/Fast Food",,,,"34,150",,,,,,,0.79,Yes,,,Chase Bank,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$790,000",Camp north end,"1709 Statesville Ave
Charlotte, NC 28206",Land • 0.65 acres,https://www.crexi.com/properties/1665831/north-carolina-camp-north-end?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$790,000","Sep 12, 2024",312 days,"Land, Mixed Use, Retail, Self Storage",Commercial,,,,,,,,,,,0.65,Yes,,,,,,,,,,,,,,,,,,,For sale by owner,,,,,,,,,,,,
charlotte NC,"$2,700,000",3406 Latrobe Dr,"3406 Latrobe Dr
Charlotte, NC 28211","Industrial • 12,221 SF",https://www.crexi.com/properties/1527000/north-carolina-3406-latrobe-dr?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$2,700,000","May 8, 2024",439 days,Industrial,Flex,Owner/User,,Vacant,"12,221",,2009,2020,,,I-1,1.354,,,,,,100%,,,,,,,$223,,,,,,,,,,,,,,,,,,,
charlotte NC,"$1,795,000",9616 Old Statesville Road,"9616 Old Statesville Rd
Charlotte, NC 28269","Retail • 8,400 SqFt",https://www.crexi.com/properties/1231245/north-carolina-9616-old-statesville-road?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$1,795,000","Sep 18, 2023",672 days,"Retail, Office, Industrial","Storefront, Executive Office, Warehouse, Office Showroom",,,,"8,400",,2000,,1,1,Ml-1,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$610,000","10310 Couloak Dr, Suit 400","10310 Couloak Dr
Charlotte, NC 28216","Two-story, 2,978 SF office condo located just minutes from I-485 • Suite 400",https://www.crexi.com/properties/1334561/north-carolina-10310-couloak-dr-suit-400?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$610,000","Dec 2, 2023",597 days,"Hospitality, Mixed Use, Office, Special Purpose","Creative Office, Medical Office, Traditional Office",Value Add,B,Multi,"2,978","2,978",2005,2017,1,1,Office,,Yes,,50% vacant and 50% occupied,,3.93%,50%,,"$24,000",2,,Modified,,$204.84,,3 years,0.8 years,,,,For sale by owner,05/01/2023,05/01/2026,,,9,8.52%,"$52,000","2,978",,,,
charlotte NC,"$1,050,000",NoDa Turn Key Bar & Lounge,,"NoDa Turn Key Bar & Lounge • 3,438 SF",https://www.crexi.com/properties/1572327/north-carolina-noda-turn-key-bar-lounge?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$1,050,000","Jun 22, 2024",394 days,"Business for Sale, Retail","Bar, Business and Building, Restaurant",,,,"3,470",,,,,,,,,,,,,,,,,,,,,,,6 years,,,5-year option,,,,,,,,,,,,,
charlotte NC,"$1,500,000",Kirkley,"2925 Derita Av.
Charlotte, NC 28269",Land • 3.03 acres,https://www.crexi.com/properties/1717864/north-carolina-kirkley?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$1,500,000","Nov 15, 2024",248 days,"Land, Multifamily, Office, Retail, Self Storage",Shopping Center,,,,,,,,2,,B-1,3.03,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,"$500,000/acre",,,
charlotte NC,"$1,892,901","Advance Auto Parts - Charlotte, NC","10025 Albemarle Road
Charlotte, NC 28227-3438",NC Advance Auto Parts For Sale • 5+ Year Term • 6.75% Cap,https://www.crexi.com/properties/1961385/north-carolina-advance-auto-parts---charlotte-nc?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$1,892,901","Jun 12, 2025",39 days,Retail,"Auto Shop, Storefront",Net Lease,,Single,"6,874",,2001,,,,,2.44,,,,Advance Auto Parts,6.75%,100%,,"$127,770",,,NN,Corporate Guarantee,$275.37,,29.3 years,5.5 years,,7% at Options,2 x 5 Year Options,,09/20/2001,12/31/2030,,,,,,,,,,
charlotte NC,"$650,000",Uptown Charlotte - Live/Work/Residential Income Investment,"1115 Greenleaf Avenue B
Charlotte, NC 28202","Mixed Use • 1,926 SF",https://www.crexi.com/properties/1954252/north-carolina-uptown-charlotte---liveworkresidential-income-investment?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$650,000","Jun 5, 2025",46 days,"Mixed Use, Multifamily",Apartment Building,Owner/User,A,,"1,926","1,926",2020,3,1,3,1 N1-E U,,Yes,Warranty Deed,Residential Income,,,,07/04/2025,,1,,Gross,,$337.49,,,,,,,,,,,,,,,,,2,,
charlotte NC,"$2,900,000","4.8 acre Industrial near 485, 85 Charlotte 2 Lots 31000 sqft","10908 Mt Holly Rd
Charlotte, NC 28214","HOT PROPERTY PACKAGE: INDUSTRIAL • 2 DOCKS • 5 BAYS Dealership, Manufac, Bussiness, Storage. FLEX...",https://www.crexi.com/properties/1466487/north-carolina-10908-mount-holly-rd-charlotte-industrial-32k-sq-ft?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$2,900,000","Mar 7, 2024",501 days,"Industrial, Mixed Use","Flex, Manufacturing, Warehouse",Value Add,C,,"31,000",,1964,several,4,2,"I1, I2, GB",4.8,,Owner Operator,,,,,,,4,,,,$93.55,,,,,,,,,,,2,24,8.28%,"$240,000",,,,5,
charlotte NC,"$6,500,000",3990 Sam Wilson Road,"3990 Sam Wilson Rd
Charlotte, NC 28214","Industrial • 23,153 SF",https://www.crexi.com/properties/1684536/north-carolina-3990-sam-wilson-road?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$6,500,000","Oct 9, 2024",285 days,Industrial,Warehouse,,B,,"23,153",,1989,,1,,I-1 (CD),7.924,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
charlotte NC,"$1,568,000",Family Dollar,"4130 Rozzelles Ferry Rd
Charlotte, NC 28216","Retail • 7.75% CAP • 8,537 SqFt",https://www.crexi.com/properties/1901711/north-carolina-family-dollar?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$1,568,000","Apr 23, 2025",89 days,Retail,"Grocery Store, Storefront",,,Single,"8,537",,2000,,,,CG,0.95,,Fee simple interest (land & building ownership),,Family Dollar,7.75%,100%,,"$121,503",,,NN,Corporate Guarantee,,,,4.9 years,36,10% rental increase,2 (5-year),,,06/30/2030,,,,,,,,,,
charlotte NC,Unpriced,9300 South Blvd,"9300 South Blvd
Charlotte, NC 28273","2nd Generation Freestanding Restaurant with Drive-Thru • 3,092 SF",https://www.crexi.com/properties/1817056/north-carolina-9300-south-blvd?recommId=fb1412838a988dfdec9e4e0ebb08358a,Unpriced,"Feb 28, 2025",143 days,Retail,Restaurant,,,,"3,092",,2006,,1,,R-4,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$5,850,000",Gardner-Webb University Charlotte Center,"8030 Arrowridge Blvd
Charlotte, NC 28273","25,123 SF Two-Story Office Building Available for Sale",https://www.crexi.com/properties/1940087/north-carolina-gardner-webb-university-charlotte-center?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$5,850,000","May 29, 2025",53 days,"Mixed Use, Office",Traditional Office,Owner/User,B,,"25,123",,1977,1992,1,2,ML-1,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90
charlotte NC,Unpriced,221 S Tryon St,"221 S Tryon St
Charlotte, NC 28202",Iconic Retail Condo in Charlotte's Thriving Uptown,https://www.crexi.com/properties/1657381/north-carolina-221-s-tryon-st?recommId=fb1412838a988dfdec9e4e0ebb08358a,Unpriced,"Aug 31, 2024",324 days,"Mixed Use, Office, Retail","Creative Office, Restaurant, Storefront",,B,,"4,149",,1920,,1,3,UC,0.12,,,,,,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$1,750,000",3400 Silas Ave,"3400 Silas Ave
Charlotte, NC 28206","Industrial • 10,000 SF",https://www.crexi.com/properties/1640657/north-carolina-3400-silas-ave?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$1,750,000","Aug 9, 2024",346 days,Industrial,"Warehouse, Manufacturing",,,,"10,000",,1972,,,,ML-2,0.58,,,,,,,,,,,,,,,,,,,,,,,,2,15',,,,,,,
charlotte NC,"$2,900,000",2528 Lucena,"2528 Lucena St
Charlotte, NC 28206","Industrial • 20,228 SF",https://www.crexi.com/properties/1915584/north-carolina-2528-lucena?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$2,900,000","Apr 29, 2025",83 days,Industrial,"Flex, Warehouse",,B,Vacant,"20,228",,1958,,,1,ML-2,0.815,Yes,,,,,Vacant,,,,,,,,,,,,,,,,,,,"16'6""",,,,,,1,
charlotte NC,"$300,000",765 East Mallard Creek Church Road,"765 E Mallard Creek Church Rd
Charlotte, NC 28262",Land • 1.4 acres,https://www.crexi.com/properties/1079238/north-carolina-765-east-mallard-creek-church-road?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$300,000","Mar 21, 2023",853 days,Land,Commercial,,,,,,,,,,INST,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$799,000",2039 Lanier Ave - Oakhurst Triplex,"2039 lanier ave
Charlotte, NC 28205",Charming Triplex in Oakhurst – Rare Investment Opportunity!,https://www.crexi.com/properties/1921300/north-carolina-2039-lanier-ave---oakhurst-triplex?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$799,000","May 6, 2025",76 days,Multifamily,Apartment Building,,,,"3,080",,1926,2021,1,2,NB1,0.34,,Agent-Owned,"Value-Add, Owner-User, or Both",,0.00%,,,,3,,,,,No,,,5,,,For sale by owner,,,,,,7.00%,,,,,,
charlotte NC,"$3,500,000",519 Armour Dr.,"519 Armour Dr
Charlotte, NC 28206","Industrial • 16,281 SF",https://www.crexi.com/properties/1693454/north-carolina-519-armour-dr?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$3,500,000","Oct 22, 2024",272 days,Industrial,"Flex, Warehouse",,,,"16,281",,,,1,1,ML-2,0.834,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,
charlotte NC,"$6,250,000",I-77 and 7215 Smith Corners BLVD RUG SOURCE,"7215 Smith Corners Blvd
Charlotte, NC 28269","Retail • 36,735 SF I-77 Interstate exposure with Exit 18 next to the development.",https://www.crexi.com/properties/1691033/north-carolina-smith-corners?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$6,250,000","Oct 18, 2024",276 days,"Industrial, Mixed Use, Office, Retail, Special Purpose","Medical Office, Shopping Center, Storefront",,A,Vacant,"36,735",,,,,,ML-1,3.09,,,,,,,,,,,NNN,,,,,,,Yes,,,,,,2,14 plus,,,,,,2,
charlotte NC,Unpriced,Beatties Ford Rd @ I-85,"2731 Beatties Ford Rd
Charlotte, NC 28216",Land For Sale • 10.48 acres • I-85 frontage,https://www.crexi.com/properties/1777621/north-carolina-beatties-ford-rd-i-85?recommId=fb1412838a988dfdec9e4e0ebb08358a,Unpriced,"Feb 11, 2025",160 days,Land,"Commercial, Industrial, Residential",,,,,,,,,,CG & OFC,10.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$1,650,000",6709 N Tryon St,"6709 N Tryon St
Charlotte, NC 28213",FORMER BANK BRANCH FOR SALE • PRIME RETAIL LOCATION IN CHARLOTTE,https://www.crexi.com/properties/1337405/north-carolina-former-bank-branch?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$1,650,000","Dec 5, 2023",594 days,Retail,"Bank, QSR/Fast Food, Restaurant",,,Vacant,"3,410",,1989,,1,1,B-2,0.76,,,,,,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$350,000","1111 Parkwood Avenue, Charlotte, NC 28205","1101, 1105, 1109, 1111 Parkwood Ave
Charlotte, NC 28205",Prime Piece of Charlotte Real Estate,https://www.crexi.com/properties/1501041/north-carolina-1101-1105-11091111-parkwood-avenue-charlotte-nc-28205?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$350,000","Apr 3, 2024",474 days,Mixed Use,mixed use,,,,,,1925,,,,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$1,200,000",2522 The Plaza,"2522 The Plaza
Charlotte, NC 28205",The Plaza ~ Land ~ 0.44 acres,https://www.crexi.com/properties/1546057/north-carolina-2522-the-plaza?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$1,200,000","May 29, 2024",418 days,"Land, Mixed Use, Retail","Commercial, Convenience Store",Owner/User,,,,,,,1,,General Commercial,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$750,000",2215 West Boulevard,"2215 West Blvd
Charlotte, NC 28208",1200 Sf vacant free standing retail space on a busy corner with 2 lots for residential development.,https://www.crexi.com/properties/1826736/north-carolina-2215-west-boulevard?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$750,000","Mar 11, 2025",132 days,Retail,"Convenience Store, Grocery Store, Storefront",Owner/User,B,Vacant,"1,200",,1989/2023,,,1,CG and N1C - General Commercial front half of the lot and back half of the lot is N1C,0.86,,Seller owned for at least one year,Retail,,,,,,,,,,$625,,,,,,,,,,,,,,,,,,,
charlotte NC,"$999,000","1346 Hill Rd. Charlotte, NC","1346 Hill Rd
Charlotte, NC 28210",3813 SF of Stand Alone Office Space Available!,https://www.crexi.com/properties/1550673/north-carolina-1346-hill-rd-charlotte-nc?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$999,000","Jun 3, 2024",413 days,Office,"Creative Office, Medical Office, Traditional Office",,C,,"3,813",,1983,,,,B-2,0.5,,,,,0.00%,Vacant,,,,,,,$262,,,,,,,,,,,,,,,,,,,
charlotte NC,"$4,709,630",Adams Auto Group,"6501 South Blvd
Charlotte, NC 28217","Retail • 6.75% CAP • 15,620 SF",https://www.crexi.com/properties/1924661/north-carolina-adams-auto-group?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$4,709,630","May 9, 2025",73 days,Retail,Auto Shop,Net Lease,,Single,"15,620",,1985,,1,1,,2.9,,,Auto Dealership,,6.75%,100%,,"$317,900",1,,NNN,Corporate Guarantee,,,15 years,9.3 years,,,,,10/31/2019,11/01/2034,,,,,,,,,,
charlotte NC,Unpriced,204 East Peterson Street,"204 E Peterson Dr
Charlotte, NC 28217","Office • 3,590 SF",https://www.crexi.com/properties/1529536/north-carolina-204-east-peterson-street?recommId=fb1412838a988dfdec9e4e0ebb08358a,Unpriced,"May 11, 2024",436 days,"Office, Industrial","Executive Office, Flex",,,,"3,590",,,,,,,0.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,1723 - 1725 N Tryon St,"1723 N Tryon St
Charlotte, NC 28206",Building and Land For Sale Fronting N Tryon St • 1.44 Acres,https://www.crexi.com/properties/1842249/north-carolina-1723---1725-n-tryon-st?recommId=fb1412838a988dfdec9e4e0ebb08358a,Unpriced,"Mar 25, 2025",118 days,"Industrial, Land, Mixed Use, Retail","Commercial, Flex, Industrial",,,,"9,294","9,294",1940,,2,1,ML-2,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
